adminID;DB_operator_code;DB_operator_name;DB_subnet_name;custom_short_name;custom_long_name;comment
850073;TRN;Transports Publics Neuchâtelois SA;;;;
850074;RA;Regionalps;;;;
850078;SZU;Sihltal-Zürich-Uetliberg-Bahn;;;;
850081;ASM;Aare Seeland mobil;;;;
850082;SOB;Schweizerische Südostbahn (sob);;;;
850086;ZB;Zentralbahn;;;;
850088;RBS;Regionalverkehr Bern-Solothurn;;;;
850093;MGB;Matterhorn Gotthard Bahn (bvz);;;;
850096;WSB;Wynental-und Suhrental-Bahn;;;;
850097;TRA;Transports Vallée de Joux-Yverdon-Ste-Croix;;;;
850193;URh;Untersee und Rhein;;;;
850195;SBS;Schweizerische Bodensee-Schiffahrtsgesellschaft;;;;
850360;BSB;Bodensee-Schiffsbetriebe;;;;
850371;BC;Société coopérative du Chemin de fer - Musée Blonay-Chamby;;;;
850801;PAG;PostAuto Schweiz;;;;
850846;RVS;Regionale Verkehrsbetriebe Schaffhausen;;;;
853186;SZR;Schiff Eglisau-Tössegg;;;;
853271;ANA;Association neuchâteloise des Amis du Tramway ANAT;;;;
857200;SBB;SBB;;;;
857206;SBB;SBB;;;;
857210;SBB;SBB;;;;
857221;THU;THURBO;;;;
857231;SBB;SBB;;;;
859014;VDB;Verein Dampfbahn Bern;;;;
859999;SBB;SBB;;;;
860087;ARR;Arriva Danmark;;;;
861002;DSB;Dänische Staatsbahnen;;;;
8006000;DB;DB Regio AG Baden-Württemberg;;;;
0S;S;S-Bahn Hamburg;;;;
51KD;KD;Koleje Dolnoslaskie;;;;
51PR;PR;Polregio;;;;
51PR-Q;PR;Polregio;;;;
51PR-R;PR;Polregio;;;;
51PR-S;PR;Polregio;;;;
54A8N;CD;Tschechische Bahnen;Tschechische Bahnen;;;RE25,
8002A3;DB;DB Regio AG Nord;;;;
8002B5;DB;DB Regio AG Nord;;;;
8003A5;DB;DB Regio AG NRW;DB Regio NW, EN euregiobahn;;;
8003B2;DB;DB Regio AG NRW;Busse/SEV Region NRW;;;SEV RB27 Koblenz - Neuwied,
